12
IBM ; S121212121 ; B333333333 ; 50.3 ; 30 ; 14/11/2016
Apple ; S121212121 ; B333333333 ; 49.8 ; 10 ; 14/11/2016
Alphabet ; S191919191 ; B121212121 ; 70.25 ; 80 ; 14/11/2016
Corticeira Amorim ; S333333333 ; B123123123 ; 6.25 ; 123 ; 15/11/2016
IBM ; S121212121 ; B333333333 ; 50.5 ; 103 ; 16/11/2016
IBM ; S121212121 ; B333333333 ; 51.5 ; 15 ; 17/11/2016
IBM ; S123123123 ; B121212121 ; 1.15 ; 30 ; 20/11/2016
IBM ; S123123123 ; B121212121 ; 1.25 ; 20 ; 20/11/2016
Alphabet ; S333333333 ; B123123123 ; 60 ; 100 ; 20/11/2016
IBM ; S123123123 ; B123456789 ; 15.7 ; 40 ; 20/11/2016
IBM ; S123123123 ; B999888777 ; 1.1 ; 10 ; 20/11/2016
IBM ; S123456789 ; B999888777 ; 8.35 ; 450 ; 20/11/2016
